Date,Open,High,Low,Close,Adj Close,Volume
2022-01-04,78800.000000,79200.000000,78300.000000,78700.000000,76808.164063,12427416
2022-01-05,78800.000000,79000.000000,76400.000000,77400.000000,75539.414063,25470640
2022-01-06,76700.000000,77600.000000,76600.000000,76900.000000,75051.437500,12931954
2022-01-07,78100.000000,78400.000000,77400.000000,78300.000000,76417.796875,15163757
2022-01-10,78100.000000,78100.000000,77100.000000,78000.000000,76125.000000,9947422
2022-01-11,78400.000000,79000.000000,78000.000000,78900.000000,77003.367188,13221123
2022-01-12,79500.000000,79600.000000,78600.000000,78900.000000,77003.367188,11000502
2022-01-13,79300.000000,79300.000000,77900.000000,77900.000000,76027.406250,13889401
2022-01-14,77700.000000,78100.000000,77100.000000,77300.000000,75441.828125,10096725
2022-01-17,77600.000000,77800.000000,76900.000000,77500.000000,75637.015625,8785122
2022-01-18,77600.000000,77800.000000,76600.000000,77000.000000,75149.039063,9592788
2022-01-19,76500.000000,76900.000000,76100.000000,76300.000000,74465.859375,10598290
2022-01-20,76200.000000,76700.000000,75900.000000,76500.000000,74661.054688,9708168
2022-01-21,75800.000000,75800.000000,74700.000000,75600.000000,73782.687500,15774888
2022-01-24,75400.000000,75800.000000,74700.000000,75100.000000,73294.710938,13691134
2022-01-25,74800.000000,75000.000000,73200.000000,74000.000000,72221.156250,17766704
2022-01-26,74000.000000,74000.000000,74000.000000,74000.000000,72221.156250,0
2022-01-27,73800.000000,74000.000000,71300.000000,71300.000000,69586.054688,22274777
2022-01-28,71300.000000,73700.000000,71200.000000,73300.000000,71537.976563,21367447
2022-02-03,74900.000000,74900.000000,73300.000000,73300.000000,71537.976563,17744721
2022-02-04,74300.000000,74600.000000,73400.000000,74000.000000,72221.156250,12730034
2022-02-07,73500.000000,73600.000000,72400.000000,73000.000000,71245.195313,14240838
2022-02-08,73000.000000,73000.000000,73000.000000,73000.000000,71245.195313,0
2022-02-09,73000.000000,73000.000000,73000.000000,73000.000000,71245.195313,0
2022-02-10,75600.000000,75800.000000,74700.000000,75400.000000,73587.500000,17746033
2022-02-11,75000.000000,75500.000000,74600.000000,74900.000000,73099.515625,12205407
2022-02-14,74400.000000,74500.000000,73100.000000,73700.000000,71928.367188,13993255
2022-02-15,74100.000000,74200.000000,73100.000000,73700.000000,71928.367188,9320365
2022-02-16,74600.000000,74900.000000,74200.000000,74800.000000,73001.914063,10767386
2022-02-17,75000.000000,75600.000000,74500.000000,75000.000000,73197.109375,13605382
2022-02-18,74600.000000,74800.000000,73700.000000,74300.000000,72513.945313,10122226
2022-02-21,74300.000000,74300.000000,74300.000000,74300.000000,72513.945313,0
2022-02-22,74300.000000,74300.000000,74300.000000,74300.000000,72513.945313,0
2022-02-23,74300.000000,74300.000000,74300.000000,74300.000000,72513.945313,0
2022-02-24,72300.000000,72300.000000,71300.000000,71500.000000,69781.250000,15759283
2022-02-25,72100.000000,72600.000000,71900.000000,71900.000000,70171.632813,13168484
2022-02-28,71900.000000,71900.000000,71900.000000,71900.000000,70171.632813,0
2022-03-02,72300.000000,72400.000000,71500.000000,71700.000000,69976.445313,12481430
2022-03-03,72300.000000,73100.000000,72200.000000,72900.000000,71147.593750,13232638
2022-03-04,72900.000000,72900.000000,72900.000000,72900.000000,71147.593750,0
2022-03-07,70000.000000,70600.000000,69900.000000,70100.000000,68414.898438,18617138
2022-03-08,68800.000000,70000.000000,68700.000000,69500.000000,67829.320313,15828269
2022-03-10,69500.000000,69500.000000,69500.000000,69500.000000,67829.320313,0
2022-03-11,70500.000000,70700.000000,69700.000000,70000.000000,68317.304688,15787655
2022-03-14,70000.000000,70200.000000,69600.000000,70200.000000,68512.500000,9040993
2022-03-15,70200.000000,70200.000000,70200.000000,70200.000000,68512.500000,0
2022-03-16,70200.000000,70500.000000,69700.000000,70400.000000,68707.695313,10175750
2022-03-17,70400.000000,70400.000000,70400.000000,70400.000000,68707.695313,0
2022-03-18,70600.000000,70900.000000,70200.000000,70700.000000,69000.476563,14410038
2022-03-21,70900.000000,71000.000000,69900.000000,69900.000000,68219.710938,11169002
2022-03-22,69900.000000,70500.000000,69900.000000,70300.000000,68610.093750,9402666
2022-03-23,70600.000000,71200.000000,70300.000000,70500.000000,68805.289063,12398025
2022-03-24,69600.000000,70300.000000,69600.000000,69800.000000,68122.117188,37943357
2022-03-25,70100.000000,70200.000000,69600.000000,69800.000000,68122.117188,12986010
2022-03-28,69500.000000,69900.000000,69200.000000,69700.000000,68024.515625,12619289
2022-03-29,70000.000000,70300.000000,69800.000000,70200.000000,68512.500000,13686208
2022-03-30,70300.000000,70500.000000,69800.000000,69900.000000,68572.343750,12670187
2022-03-31,69900.000000,70200.000000,69600.000000,69600.000000,68278.039063,12510366
2022-04-01,69500.000000,69500.000000,69000.000000,69100.000000,67787.531250,15916846
2022-04-04,68900.000000,69300.000000,68600.000000,69300.000000,67983.726563,11107905
2022-04-05,69400.000000,69600.000000,69100.000000,69200.000000,67885.640625,8467248
2022-04-06,68600.000000,68800.000000,68500.000000,68500.000000,67198.937500,15517308
2022-04-07,68500.000000,68500.000000,68000.000000,68000.000000,66708.421875,20683327
2022-04-08,68100.000000,68300.000000,67700.000000,67800.000000,66512.226563,15453191
2022-04-11,67800.000000,68100.000000,67400.000000,67900.000000,66610.328125,12263735
2022-04-12,67600.000000,67700.000000,67000.000000,67000.000000,65727.421875,13924389
2022-04-13,67300.000000,69000.000000,67200.000000,68700.000000,67395.132813,17378619
2022-04-14,68700.000000,68700.000000,67500.000000,67500.000000,66217.921875,16409494
2022-04-15,67200.000000,67300.000000,66500.000000,66600.000000,65335.023438,13176415
2022-04-18,66500.000000,67100.000000,66100.000000,66700.000000,65433.113281,10119203
2022-04-19,67100.000000,68000.000000,67000.000000,67300.000000,66021.726563,12959434
2022-04-20,67000.000000,67400.000000,66500.000000,67400.000000,66119.828125,16693293
2022-04-21,67600.000000,68300.000000,67500.000000,67700.000000,66414.125000,12847448
2022-04-22,67200.000000,67300.000000,66700.000000,67000.000000,65727.421875,11791478
2022-04-25,66500.000000,66700.000000,66300.000000,66300.000000,65040.714844,11016474
2022-04-26,66400.000000,66700.000000,66100.000000,66100.000000,64844.515625,12946923
2022-04-27,65400.000000,65500.000000,64900.000000,65000.000000,63765.410156,18122084
2022-04-28,65400.000000,65500.000000,64500.000000,64800.000000,63569.210938,16895527
2022-04-29,65100.000000,67600.000000,65000.000000,67400.000000,66119.828125,26190390
2022-05-02,66600.000000,67600.000000,66500.000000,67300.000000,66021.726563,14106184
2022-05-03,67400.000000,68400.000000,67300.000000,67500.000000,66217.921875,14168875
2022-05-04,68000.000000,68400.000000,67500.000000,67900.000000,66610.328125,11505248
2022-05-06,67000.000000,67100.000000,66500.000000,66500.000000,65236.914063,14356156
2022-05-10,65900.000000,66300.000000,65300.000000,65700.000000,64452.113281,17235605
2022-05-11,65500.000000,66300.000000,65200.000000,65700.000000,64452.113281,12330920
2022-05-12,65200.000000,65500.000000,64900.000000,64900.000000,63667.308594,16414188
2022-05-13,65300.000000,66700.000000,65200.000000,66500.000000,65236.914063,14551536
2022-05-16,67100.000000,67400.000000,66100.000000,66300.000000,65040.714844,11937555
2022-05-17,66600.000000,67900.000000,66600.000000,67600.000000,66316.023438,15680447
2022-05-18,68300.000000,68700.000000,67600.000000,68100.000000,66806.531250,16486319
2022-05-19,66500.000000,67600.000000,66500.000000,67500.000000,66217.921875,17073727
2022-05-20,67800.000000,68400.000000,67700.000000,68000.000000,66708.421875,12109671
2022-05-23,68800.000000,68800.000000,67600.000000,67900.000000,66610.328125,13684088
2022-05-24,67500.000000,67700.000000,66500.000000,66500.000000,65236.914063,15482576
2022-05-25,66700.000000,67100.000000,65900.000000,66400.000000,65138.816406,15150490
2022-05-26,66300.000000,67200.000000,65500.000000,65900.000000,64648.316406,15970890
2022-05-27,66700.000000,66900.000000,66200.000000,66500.000000,65236.914063,11405555
2022-05-30,67500.000000,67800.000000,66900.000000,67700.000000,66414.125000,14255484
2022-05-31,67500.000000,67500.000000,66700.000000,67400.000000,66119.828125,24365002
2022-06-02,66600.000000,67000.000000,66400.000000,66700.000000,65433.113281,14959443
2022-06-03,67200.000000,67300.000000,66800.000000,66800.000000,65531.222656,8222883
2022-06-07,66200.000000,66400.000000,65400.000000,65500.000000,64255.910156,19355755
2022-06-08,65400.000000,65700.000000,65300.000000,65300.000000,64059.707031,12483180
2022-06-09,65100.000000,65200.000000,64500.000000,65200.000000,63961.609375,25790725
2022-06-10,64000.000000,64400.000000,63800.000000,63800.000000,62588.199219,22193552
2022-06-13,62400.000000,62800.000000,62100.000000,62100.000000,60920.488281,22157816
2022-06-14,61200.000000,62200.000000,61100.000000,61900.000000,60724.289063,24606419
2022-06-15,61300.000000,61500.000000,60200.000000,60700.000000,59547.082031,26811224
2022-06-16,61300.000000,61800.000000,60500.000000,60900.000000,59743.285156,23394895
2022-06-17,59400.000000,59900.000000,59400.000000,59800.000000,58664.175781,29053450
2022-06-20,59800.000000,59900.000000,58100.000000,58700.000000,57585.070313,34111306
2022-06-21,58700.000000,59200.000000,58200.000000,58500.000000,57388.867188,25148109
2022-06-22,59000.000000,59100.000000,57600.000000,57600.000000,56505.960938,23334687
2022-06-23,57700.000000,58000.000000,56800.000000,57400.000000,56309.757813,28338608
2022-06-24,57900.000000,59100.000000,57700.000000,58400.000000,57290.769531,23256103
2022-06-27,59000.000000,59900.000000,58300.000000,58800.000000,57683.171875,18122236
2022-06-28,59200.000000,59500.000000,58700.000000,59400.000000,58271.773438,13540538
2022-06-29,58500.000000,58800.000000,58000.000000,58000.000000,57246.277344,14677138
2022-06-30,57200.000000,57600.000000,57000.000000,57000.000000,56259.273438,18915142
2022-07-01,56900.000000,57500.000000,55900.000000,56200.000000,55469.667969,24982097
2022-07-04,56100.000000,57400.000000,55700.000000,57100.000000,56357.972656,17807126
2022-07-05,57600.000000,58200.000000,57200.000000,57200.000000,56456.675781,14216539
2022-07-06,57300.000000,57300.000000,56400.000000,56400.000000,55667.070313,16820461
2022-07-07,56400.000000,58700.000000,56300.000000,58200.000000,57443.679688,21322833
2022-07-08,58600.000000,59300.000000,58200.000000,58700.000000,57937.183594,15339271
2022-07-11,59300.000000,59600.000000,58700.000000,58800.000000,58035.882813,13042624
2022-07-12,58600.000000,58700.000000,58100.000000,58100.000000,57344.976563,9336061
2022-07-13,58300.000000,58600.000000,58000.000000,58000.000000,57246.277344,10841315
2022-07-14,57500.000000,58200.000000,57400.000000,57500.000000,56752.773438,15067012
2022-07-15,58400.000000,60000.000000,58100.000000,60000.000000,59220.289063,18685583
2022-07-18,60600.000000,62000.000000,60500.000000,61900.000000,61095.597656,20832517
2022-07-19,61400.000000,61500.000000,60200.000000,60900.000000,60108.589844,15248261
2022-07-20,61800.000000,62100.000000,60500.000000,60500.000000,59713.789063,16782238
2022-07-21,61100.000000,61900.000000,60700.000000,61800.000000,60996.898438,12291374
2022-07-22,61800.000000,62200.000000,61200.000000,61300.000000,60503.394531,10261310
2022-07-25,60900.000000,61900.000000,60800.000000,61100.000000,60305.992188,9193681
2022-07-26,60800.000000,61900.000000,60800.000000,61700.000000,60898.195313,6597211
2022-07-27,61300.000000,61900.000000,61200.000000,61800.000000,60996.898438,7320997
2022-07-28,62300.000000,62600.000000,61600.000000,61900.000000,61095.597656,10745302
2022-07-29,62400.000000,62600.000000,61300.000000,61400.000000,60602.093750,15093120
2022-08-01,61000.000000,61700.000000,60300.000000,61300.000000,60503.394531,13154816
2022-08-02,61200.000000,61900.000000,61000.000000,61700.000000,60898.195313,13614895
2022-08-03,61600.000000,61600.000000,61000.000000,61300.000000,60503.394531,10053861
2022-08-04,61700.000000,61800.000000,61200.000000,61500.000000,60700.792969,9125439
2022-08-05,61700.000000,61900.000000,61200.000000,61500.000000,60700.792969,9567620
2022-08-08,61400.000000,61400.000000,60600.000000,60800.000000,60009.890625,11313150
2022-08-09,60600.000000,60700.000000,59600.000000,60000.000000,59220.289063,18251170
2022-08-10,58900.000000,59200.000000,58600.000000,59100.000000,58331.980469,18084349
2022-08-11,59600.000000,60000.000000,59300.000000,59900.000000,59121.585938,15141941
2022-08-12,59500.000000,60700.000000,59400.000000,60200.000000,59417.687500,10786658
2022-08-16,60500.000000,61600.000000,60300.000000,61000.000000,60207.292969,15036727
2022-08-17,61100.000000,61200.000000,60300.000000,60400.000000,59615.089844,9061518
2022-08-18,60300.000000,61900.000000,60000.000000,61500.000000,60700.792969,16372754
2022-08-19,61400.000000,61600.000000,60600.000000,60900.000000,60108.589844,6923679
2022-08-22,60300.000000,60400.000000,59800.000000,60000.000000,59220.289063,8259865
2022-08-23,59000.000000,59600.000000,59000.000000,59100.000000,58331.980469,9041629
2022-08-24,59200.000000,59500.000000,59000.000000,59000.000000,58233.281250,8888486
2022-08-25,59200.000000,59700.000000,59000.000000,59700.000000,58924.183594,5767902
2022-08-26,60300.000000,60900.000000,59900.000000,60000.000000,59220.289063,9499995
2022-08-29,58700.000000,58900.000000,58600.000000,58600.000000,57838.480469,9841329
2022-08-30,58700.000000,59000.000000,58300.000000,58800.000000,58035.882813,9690044
2022-08-31,58200.000000,59900.000000,58200.000000,59700.000000,58924.183594,14203512
2022-09-01,58700.000000,58900.000000,58300.000000,58400.000000,57641.078125,14905777
2022-09-02,58300.000000,58600.000000,57500.000000,57500.000000,56752.773438,15040310
2022-09-05,57400.000000,57800.000000,56800.000000,57100.000000,56357.972656,11425977
2022-09-06,57200.000000,57600.000000,56900.000000,57100.000000,56357.972656,7503086
2022-09-07,56700.000000,56700.000000,55900.000000,56000.000000,55272.265625,17384854
2022-09-08,56200.000000,56400.000000,55600.000000,55600.000000,54877.468750,18000016
2022-09-13,57000.000000,58500.000000,56800.000000,58100.000000,57344.976563,17166581
2022-09-14,56200.000000,57200.000000,56100.000000,56800.000000,56061.871094,12524961
2022-09-15,57000.000000,57100.000000,56000.000000,56000.000000,55272.265625,11664819
2022-09-16,55600.000000,56400.000000,55500.000000,56200.000000,55469.667969,13456503
2022-09-19,56300.000000,57000.000000,56000.000000,56400.000000,55667.070313,12278653
2022-09-20,56400.000000,57000.000000,55800.000000,55800.000000,55074.863281,14041465
2022-09-21,55400.000000,55500.000000,55000.000000,55300.000000,54581.367188,11863700
2022-09-22,54600.000000,54700.000000,54300.000000,54400.000000,53693.058594,12786510
2022-09-23,54400.000000,54900.000000,54200.000000,54500.000000,53791.757813,10555964
2022-09-26,53700.000000,54200.000000,53600.000000,53900.000000,53199.558594,15008449
2022-09-27,53800.000000,54200.000000,53500.000000,54200.000000,53495.656250,16631289
2022-09-28,53900.000000,54400.000000,52500.000000,52900.000000,52212.550781,19991129
2022-09-29,53300.000000,53700.000000,52600.000000,52600.000000,52273.171875,13882080
2022-09-30,52300.000000,53600.000000,51800.000000,53100.000000,52770.066406,22503249
2022-10-04,55300.000000,55400.000000,54500.000000,55200.000000,54857.019531,19148435
2022-10-05,56900.000000,57200.000000,55400.000000,56000.000000,55652.046875,22458970
2022-10-06,56700.000000,57300.000000,56300.000000,56300.000000,55950.183594,14944446
2022-10-07,55900.000000,56900.000000,55200.000000,56200.000000,55850.804688,16886813
2022-10-11,54400.000000,55700.000000,54000.000000,55400.000000,55055.777344,21437877
2022-10-12,55700.000000,57000.000000,55200.000000,55800.000000,55453.289063,18408910
2022-10-13,55400.000000,56100.000000,55200.000000,55200.000000,54857.019531,13784602
2022-10-14,56200.000000,56500.000000,55800.000000,56300.000000,55950.183594,12924326
2022-10-17,55800.000000,57000.000000,55700.000000,56600.000000,56248.320313,13641878
2022-10-18,56700.000000,57100.000000,55800.000000,56500.000000,56148.941406,14820702
2022-10-19,56700.000000,56900.000000,55700.000000,55800.000000,55453.289063,12660652
2022-10-20,55200.000000,56000.000000,55100.000000,55500.000000,55155.156250,17107653
2022-10-21,55100.000000,56300.000000,55100.000000,55900.000000,55552.667969,11456060
2022-10-24,57000.000000,57500.000000,56700.000000,57500.000000,57142.726563,16944503
2022-10-25,57000.000000,58600.000000,57000.000000,57700.000000,57341.484375,17405678
2022-10-26,58000.000000,59600.000000,57700.000000,59400.000000,59030.921875,20824967
2022-10-27,59700.000000,60100.000000,58900.000000,59500.000000,59130.300781,21756712
2022-10-28,58900.000000,59200.000000,57200.000000,57300.000000,56943.968750,20924937
2022-10-31,58100.000000,59900.000000,58000.000000,59400.000000,59030.921875,18999514
2022-11-01,59900.000000,60300.000000,59500.000000,60000.000000,59627.195313,17201647
2022-11-02,59700.000000,60000.000000,59300.000000,59600.000000,59229.679688,13202919
2022-11-03,58600.000000,59800.000000,58100.000000,59200.000000,58832.164063,17492162
2022-11-04,59100.000000,59500.000000,58400.000000,59400.000000,59030.921875,12445841
2022-11-07,59700.000000,60300.000000,59400.000000,60200.000000,59825.953125,12437246
2022-11-08,60500.000000,61900.000000,60500.000000,61800.000000,61416.011719,18273898
2022-11-09,62000.000000,62200.000000,61300.000000,62000.000000,61614.765625,14045592
2022-11-10,61400.000000,61500.000000,60400.000000,60400.000000,60024.710938,21087633
